location,A,B,C,D,E,F,G,H
Wrocikowo,39.4,36.9,37.4,40.8,43,40.9,38.1,37.5
Wrocikowo,41.6,40.3,40.2,46.9,42.9,42.4,42.7,40.5
Wrocikowo,44,43.7,45.6,45.3,48.2,45,44.2,42.2
Wrocikowo,53.4,55.9,54.7,55.3,57.1,58.6,57.2,55.3
Wrocikowo,45.5,44.2,41.1,45.4,46.5,46.4,45,39.6
Wrocikowo,37.6,38.8,35.7,35.8,38.6,38.9,39.1,38.8
Garbno,48.6,49.1,48.4,49.6,50.8,49.4,52.1,47.5
Garbno,54.5,53.5,52.7,56,57.3,56.4,54.7,52
Garbno,48.3,46.7,46.6,49.1,51,50,50.5,46.6
Garbno,50.9,51.9,50.2,51.7,53,55.1,54.7,51.8
Garbno,46.4,54.4,43.9,50.4,48.5,51.5,43.4,48.2
Garbno,45.2,44.1,42.9,46.4,45.5,48.1,45.1,46
Garbno,32,28.7,26.7,30.1,30.6,34.2,32.2,31.5
